VCID	VC_taxonomy	VC_rank	VC_taxid	VC_linegae	VC_lifestyle	VC_host	VC_hostid	VC_host_lineage	VC_hostrange	lifestyle2
VC_6547_19	Herelleviridae	family	2560065	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_6547_2	Herelleviridae	family	2560065	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_6547_25	Herelleviridae	family	2560065	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_6547_33	Herelleviridae	family	2560065	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_6547_34	Herelleviridae	family	2560065	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_6547_36	Herelleviridae	family	2560065	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_6547_37	Herelleviridae	family	2560065	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_6547_38	Herelleviridae	family	2560065	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_6547_4	Herelleviridae	family	2560065	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_6547_5	Herelleviridae	family	2560065	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_6547_6	Herelleviridae	family	2560065	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_6547_7	Podoviridae	family	10744	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_6547_8	Herelleviridae	family	2560065	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_6547_9	Herelleviridae	family	2560065	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_6548_0	Herelleviridae	family	2560065	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;;	Virulent	Bacteroides	816	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Virulent
VC_6549_0	Caudoviricetes	class	2731619	Viruses;Uroviricota;Caudoviricetes;;;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
